GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
2780	GNAT2	G protein subunit alpha transducin 2	1.066	2.016
2946	GSTM2	glutathione S-transferase mu 2	-1.425	5.594
2949	GSTM5	glutathione S-transferase mu 5	-1.364	4.448
2947	GSTM3	glutathione S-transferase mu 3	-0.867	2.641
388662	SLC6A17	solute carrier family 6 member 17	0.753	3.136
105378897	SLC6A17-AS1	SLC6A17 antisense RNA 1	1.184	2.331
64783	RBM15	RNA binding motif protein 15	0.908	7.426
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	1.444	6.625
963	CD53	CD53 molecule	1.034	3.442
79961	DENND2D	DENN domain containing 2D	0.685	3.131
1117	CHI3L2	chitinase 3 like 2	3.556	6.199
128344	PIFO	primary cilia formation	-2.19	34.334
5016	OVGP1	oviductal glycoprotein 1	-1.48	4.772
79084	WDR77	WD repeat domain 77	0.774	14.978
100129269	LINC01160	long intergenic non-protein coding RNA 1160	-2.532	6.364
107985184	LOC107985184	uncharacterized LOC107985184	-0.626	2.266
3752	KCND3	potassium voltage-gated channel subfamily D member 3	0.833	3.834
55917	CTTNBP2NL	CTTNBP2 N-terminal like	0.576	4.397
7482	WNT2B	Wnt family member 2B	-1.174	8.026
829	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	0.627	17.926
389	RHOC	ras homolog family member C	-1.067	11.138
333926	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J	-1.333	17.763
6566	SLC16A1	solute carrier family 16 member 1	1.983	22.893
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22	2.16	12.194
440603	BCL2L15	BCL2 like 15	0.789	1.521
64858	DCLRE1B	DNA cross-link repair 1B	0.654	5.117
56944	OLFML3	olfactomedin like 3	-1.194	4.18
163259	DENND2C	DENN domain containing 2C	0.651	6.701
10100	TSPAN2	tetraspanin 2	-1.478	17.339
81839	VANGL1	VANGL planar cell polarity protein 1	0.7	5.582
845	CASQ2	calsequestrin 2	-1.914	5.761
4808	NHLH2	nescient helix-loop-helix 2	-0.717	2.064
55356	SLC22A15	solute carrier family 22 member 15	-1.179	17.093
126868	MAB21L3	mab-21 like 3	1.421	4.498
476	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	0.888	5.929
84852	ATP1A1-AS1	ATP1A1 antisense RNA 1	0.739	4.73
3321	IGSF3	immunoglobulin superfamily member 3	1.383	10.798
914	CD2	CD2 molecule	1.822	8.311
5738	PTGFRN	prostaglandin F2 receptor inhibitor	1.053	6.32
9398	CD101	CD101 molecule	0.573	4.485
101929099	CD101-AS1	CD101 antisense RNA 1	0.623	1.627
8458	TTF2	transcription termination factor 2	0.686	8.104
80263	TRIM45	tripartite motif containing 45	-1.405	10.886
79679	VTCN1	V-set domain containing T cell activation inhibitor 1	-1.894	5.911
10885	WDR3	WD repeat domain 3	0.62	4.776
200162	SPAG17	sperm associated antigen 17	0.525	1.691
6913	TBX15	T-box transcription factor 15	-1.037	3.402
51179	HAO2	hydroxyacid oxidase 2	-5.7	6.599
128102	HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4	-1.716	3.247
90874	ZNF697	zinc finger protein 697	0.535	2.77
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	-3.223	16.39
100996724	PDE4DIPP2	PDE4DIP pseudogene 2	-0.724	3.227
101929798	PDE4DIPP4	PDE4DIP pseudogene 4	0.83	1.429
653820	FAM72B	family with sequence similarity 72 member B	0.833	4.706
653464	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	-0.753	6.696
107985200	LOC107985200	uncharacterized LOC107985200	-0.987	2.625
107985201	LOC107985201	uncharacterized LOC107985201	-1.593	4.978
100996732	LINC02802	long intergenic non-protein coding RNA 2802	-1.332	6.864
728945	PPIAL4F	peptidylprolyl isomerase A like 4F	0.517	2.142
645166	LSP1P5	LSP1 pseudogene 5	-1.054	3.579
647135	SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B	-0.745	5.098
5174	PDZK1	PDZ domain containing 1	-3.153	5.346
105371260	LIX1L-AS1	LIX1L antisense RNA 1	0.534	5.202
84265	POLR3GL	RNA polymerase III subunit GL	-0.947	15.224
10628	TXNIP	thioredoxin interacting protein	-0.926	6.675
170688	NUDT4P2	nudix hydrolase 4 pseudogene 2	0.722	6.138
171423	PDIA3P1	protein disulfide isomerase family A member 3 pseudogene 1	0.519	4.724
2330	FMO5	flavin containing dimethylaniline monoxygenase 5	-0.678	4.425
2702	GJA5	gap junction protein alpha 5	1.5	7.246
100034743	PDZK1P1	PDZ domain containing 1 pseudogene 1	-2.163	4.032
105371228	LINC02804	long intergenic non-protein coding RNA 2804	-0.706	2.191
728920	PDE4DIPP1	PDE4DIP pseudogene 1	-1.484	4.026
644591	PPIAL4G	peptidylprolyl isomerase A like 4G	0.557	2.832
440672	NUDT4B	nudix hydrolase 4B	0.698	5.877
9659	PDE4DIP	phosphodiesterase 4D interacting protein	-0.586	3.592
112268272	LOC112268272	uncharacterized LOC112268272	-1.126	6.368
653513	LOC653513	phosphodiesterase 4D interacting protein-like	-2.013	14.402
653598	PPIAL4C	peptidylprolyl isomerase A like 4C	0.567	3.214
644634	LOC644634	uncharacterized LOC644634	-0.656	1.911
51027	BOLA1	bolA family member 1	-0.507	3.517
10903	MTMR11	myotubularin related protein 11	-0.93	6.524
81611	ANP32E	acidic nuclear phosphoprotein 32 family member E	0.52	4.684
148523	CIART	circadian associated repressor of transcription	-1.457	2.679
9129	PRPF3	pre-mRNA processing factor 3	-0.527	5.419
1893	ECM1	extracellular matrix protein 1	-0.516	1.795
100874054	FALEC	focally amplified long non-coding RNA in epithelial cancer	-2.471	8.769
54507	ADAMTSL4	ADAMTS like 4	-0.696	2.441
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	0.909	12.22
107985203	LOC107985203	uncharacterized LOC107985203	-1.116	3.913
1520	CTSS	cathepsin S	0.956	4.124
56882	CDC42SE1	CDC42 small effector 1	0.606	14.156
10500	SEMA6C	semaphorin 6C	-0.645	2.767
29765	TMOD4	tropomodulin 4	-0.733	1.566
8991	SELENBP1	selenium binding protein 1	-1.576	15.381
7286	TUFT1	tuftelin 1	-0.847	7.859
339398	LINGO4	leucine rich repeat and Ig domain containing 4	-2.215	4.052
6097	RORC	RAR related orphan receptor C	-3.004	26.206
6282	S100A11	S100 calcium binding protein A11	1.074	9.976
126638	RPTN	repetin	1.297	3.273
388697	HRNR	hornerin	4.382	13.189
339400	FLG-AS1	FLG antisense RNA 1	-0.958	1.996
388698	FLG2	filaggrin 2	-1.873	6.969
254910	LCE5A	late cornified envelope 5A	-3.672	11.986
353145	LCE3E	late cornified envelope 3E	4.922	111.62
84648	LCE3D	late cornified envelope 3D	4.944	93.993
353142	LCE3A	late cornified envelope 3A	8.248	64.132
388699	LINC00302	long intergenic non-protein coding RNA 302	-1.534	5.237
353141	LCE2D	late cornified envelope 2D	-1.241	2.03
353140	LCE2C	late cornified envelope 2C	-1.239	2.27
26239	LCE2B	late cornified envelope 2B	-1.859	4.425
199834	LCE4A	late cornified envelope 4A	-1.755	3.331
100129271	C1orf68	chromosome 1 open reading frame 68	-1.988	8.708
448834	KPRP	keratinocyte proline rich protein	-0.832	1.906
353137	LCE1F	late cornified envelope 1F	-1.123	2.808
353135	LCE1E	late cornified envelope 1E	-2.012	4.293
353134	LCE1D	late cornified envelope 1D	-1.884	5.949
353133	LCE1C	late cornified envelope 1C	-1.584	5.266
353132	LCE1B	late cornified envelope 1B	-1.728	5.341
353131	LCE1A	late cornified envelope 1A	-1.631	6.011
448835	LCE6A	late cornified envelope 6A	-1.651	3.718
3713	IVL	involucrin	1.553	16.029
163778	SPRR4	small proline rich protein 4	-3.546	6.424
6698	SPRR1A	small proline rich protein 1A	2.43	11.457
6699	SPRR1B	small proline rich protein 1B	3.228	33.703
6703	SPRR2D	small proline rich protein 2D	5.318	52.251
6700	SPRR2A	small proline rich protein 2A	7.152	47.503
6701	SPRR2B	small proline rich protein 2B	6.144	47.059
6704	SPRR2E	small proline rich protein 2E	3.271	26.979
6705	SPRR2F	small proline rich protein 2F	5.26	52.251
6702	SPRR2C	small proline rich protein 2C (pseudogene)	5.002	45.927
6706	SPRR2G	small proline rich protein 2G	3.844	14.553
101928009	LOC101928009	uncharacterized LOC101928009	-1.451	2.467
4014	LORICRIN	loricrin cornified envelope precursor protein	-1.444	2.864
114771	PGLYRP3	peptidoglycan recognition protein 3	1.501	12.229
57115	PGLYRP4	peptidoglycan recognition protein 4	1.781	14.154
6280	S100A9	S100 calcium binding protein A9	4.216	3.887
6283	S100A12	S100 calcium binding protein A12	7.782	106.836
6279	S100A8	S100 calcium binding protein A8	7.025	32.52
338324	S100A7A	S100 calcium binding protein A7A	4.317	3.133
6278	S100A7	S100 calcium binding protein A7	6.031	23.244
6276	S100A5	S100 calcium binding protein A5	-1.528	5.752
6275	S100A4	S100 calcium binding protein A4	-0.743	2.619
101928034	LOC101928034	uncharacterized LOC101928034	-0.522	2.181
6274	S100A3	S100 calcium binding protein A3	-0.948	1.597
6273	S100A2	S100 calcium binding protein A2	1.924	17.06
140576	S100A16	S100 calcium binding protein A16	1.043	11.994
57402	S100A14	S100 calcium binding protein A14	0.706	5.862
6271	S100A1	S100 calcium binding protein A1	-0.583	1.604
4881	NPR1	natriuretic peptide receptor 1	-0.595	2.409
11000	SLC27A3	solute carrier family 27 member 3	-0.551	4.361
148327	CREB3L4	cAMP responsive element binding protein 3 like 4	-0.596	4.527
6232	RPS27	ribosomal protein S27	-0.909	8.071
7170	TPM3	tropomyosin 3	0.537	4.383
3570	IL6R	interleukin 6 receptor	0.684	3.665
126668	TDRD10	tudor domain containing 10	-1.136	5.124
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	0.866	10.729
103	ADAR	adenosine deaminase RNA specific	1.282	8.83
105371449	LOC105371449	uncharacterized LOC105371449	-0.847	2.115
101928120	LOC101928120	uncharacterized LOC101928120	0.66	5.146
6464	SHC1	SHC adaptor protein 1	1.159	12.076
127579	DCST2	DC-STAMP domain containing 2	-1.964	13.004
149095	DCST1	DC-STAMP domain containing 1	-1.364	8.93
100505666	DCST1-AS1	DCST1 antisense RNA 1	-1.118	18.973
1945	EFNA4	ephrin A4	-0.672	6.655
1944	EFNA3	ephrin A3	-0.54	3.527
54344	DPM3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory	-0.524	2.302
80128	TRIM46	tripartite motif containing 46	-0.617	1.597
4582	MUC1	mucin 1, cell surface associated	-2.519	3.599
7059	THBS3	thrombospondin 3	-0.655	4.093
105371450	THBS3-AS1	THBS3 antisense RNA 1	-0.81	4.714
2630	GBAP1	glucosylceramidase beta pseudogene 1	1.428	16.386
2629	GBA1	glucosylceramidase beta 1	1.152	13.613
10712	ENTREP3	endosomal transmembrane epsin interactor 3	0.812	21.428
101929703	LOC101929703	uncharacterized LOC101929703	-1.525	5.206
6016	RIT1	Ras like without CAAX 1	0.819	28.736
22889	KHDC4	KH domain containing 4, pre-mRNA splicing factor	-0.56	2.492
57111	RAB25	RAB25, member RAS oncogene family	0.774	12.591
64218	SEMA4A	semaphorin 4A	0.539	4.312
9673	SLC25A44	solute carrier family 25 member 44	0.78	11.821
632	BGLAP	bone gamma-carboxyglutamate protein	-1.34	5.403
84283	TMEM79	transmembrane protein 79	0.912	32.711
7203	CCT3	chaperonin containing TCP1 subunit 3	0.678	8.958
128239	IQGAP3	IQ motif containing GTPase activating protein 3	1.616	15.676
54865	GPATCH4	G-patch domain containing 4 (gene/pseudogene)	0.647	5.423
60484	HAPLN2	hyaluronan and proteoglycan link protein 2	-2.574	5.715
63827	BCAN	brevican	-1.379	6.268
10763	NES	nestin	1.867	16.878
1382	CRABP2	cellular retinoic acid binding protein 2	2.539	54.459
81875	ISG20L2	interferon stimulated exonuclease gene 20 like 2	0.693	12.354
3068	HDGF	heparin binding growth factor	0.916	14.599
9047	SH2D2A	SH2 domain containing 2A	2.602	12.442
55243	KIRREL1	kirre like nephrin family adhesion molecule 1	0.85	5.128
909	CD1A	CD1a molecule	-1.32	5.04
910	CD1B	CD1b molecule	1.373	2.963
149628	PYHIN1	pyrin and HIN domain family member 1	1.365	3.706
3428	IFI16	interferon gamma inducible protein 16	1.883	57.441
107181291	PYDC5	pyrin domain containing 5	1.219	2.533
9447	AIM2	absent in melanoma 2	2.618	10.96
57863	CADM3	cell adhesion molecule 3	-1.851	13.092
100131825	CADM3-AS1	CADM3 antisense RNA 1	-1.776	15.093
2532	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	-0.684	3.616
2205	FCER1A	Fc epsilon receptor Ia	-1.096	7.886
25790	CFAP45	cilia and flagella associated protein 45	1.19	6.848
8407	TAGLN2	transgelin 2	0.525	3.176
89886	SLAMF9	SLAM family member 9	-0.93	7.397
100505633	LINC01133	long intergenic non-protein coding RNA 1133	-1.251	11.958
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	-1.765	16.251
844	CASQ1	calsequestrin 1	-1.341	3.097
1314	COPA	COPI coat complex subunit alpha	0.648	7.139
4807	NHLH1	nescient helix-loop-helix 1	-1.463	3.602
105371466	LOC105371466	uncharacterized LOC105371466	-1.111	7.915
114836	SLAMF6	SLAM family member 6	1.555	4.876
8832	CD84	CD84 molecule	0.973	3.183
6504	SLAMF1	signaling lymphocytic activation molecule family member 1	2.162	8.964
962	CD48	CD48 molecule	1.151	3.014
57823	SLAMF7	SLAM family member 7	1.907	24.442
4063	LY9	lymphocyte antigen 9	1.13	5.555
51744	CD244	CD244 molecule	0.619	1.398
126823	KLHDC9	kelch domain containing 9	-1.251	5.018
5498	PPOX	protoporphyrinogen oxidase	-1.351	16.292
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	2.345	10.326
84134	TOMM40L	translocase of outer mitochondrial membrane 40 like	0.879	25.653
100847090	MIR5187	microRNA 5187	0.968	2.153
654790	PCP4L1	Purkinje cell protein 4 like 1	2.49	12.105
105371472	LOC105371472	uncharacterized LOC105371472	-1.564	1.978
4359	MPZ	myelin protein zero	-1.504	8.493
2212	FCGR2A	Fc gamma receptor IIa	0.738	1.533
2214	FCGR3A	Fc gamma receptor IIIa	2.294	16.017
2215	FCGR3B	Fc gamma receptor IIIb	2.048	7.096
127943	FCRLB	Fc receptor like B	1.121	6.266
102724329	ATF6-DT	ATF6 divergent transcript	-1.008	1.824
127933	UHMK1	U2AF homology motif kinase 1	0.772	5.086
83540	NUF2	NUF2 component of NDC80 kinetochore complex	1.369	9.254
5087	PBX1	PBX homeobox 1	0.558	5.385
6258	RXRG	retinoid X receptor gamma	-1.951	14.443
4259	MGST3	microsomal glutathione S-transferase 3	-1.117	12.609
7371	UCK2	uridine-cytidine kinase 2	0.72	6.933
100500832	MIR3658	microRNA 3658	1.108	5.191
149297	FAM78B	family with sequence similarity 78 member B	-0.77	4.252
105371586	FAM78B-AS1	FAM78B antisense RNA 1	-1.79	3.771
919	CD247	CD247 molecule	1.583	7.965
101928512	LOC101928512	uncharacterized LOC101928512	-1.381	5.458
92241	RCSD1	RCSD domain containing 1	0.711	3.795
9019	MPZL1	myelin protein zero like 1	1.027	23.12
84832	ANKRD36BP1	ankyrin repeat domain 36B pseudogene 1	1.255	2.281
9095	TBX19	T-box transcription factor 19	-0.525	1.782
1805	DPT	dermatopontin	-0.68	1.571
481	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	1.723	12.045
29922	NME7	NME/NM23 family member 7	0.599	3.167
6403	SELP	selectin P	0.64	1.93
6402	SELL	selectin L	2.134	6.553
6401	SELE	selectin E	2.162	10.895
2328	FMO3	flavin containing dimethylaniline monoxygenase 3	0.793	1.441
2327	FMO2	flavin containing dimethylaniline monoxygenase 2	1.901	3.353
2326	FMO1	flavin containing dimethylaniline monoxygenase 1	0.867	2.46
2329	FMO4	flavin containing dimethylaniline monoxygenase 4	-0.576	3.578
23215	PRRC2C	proline rich coiled-coil 2C	0.521	6.478
4653	MYOC	myocilin	-3.692	17.241
8674	VAMP4	vesicle associated membrane protein 4	-0.533	8.732
100628315	DNM3OS	DNM3 opposite strand/antisense RNA	-1.257	4.965
102724528	LOC102724528	uncharacterized LOC102724528	-1.085	5.446
51430	SUCO	SUN domain containing ossification factor	1.109	11.999
356	FASLG	Fas ligand	1.914	7.197
91687	CENPL	centromere protein L	1.133	12.14
55157	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	0.561	3.246
100506046	GAS5-AS1	GAS5 antisense RNA 1	-0.886	5.851
60674	GAS5	growth arrest specific 5	-0.962	6.29
26802	SNORD47	small nucleolar RNA, C/D box 47	-0.682	1.839
106635533	SNORA103	small nucleolar RNA, H/ACA box 103	-1.113	6.612
105371622	LOC105371622	uncharacterized LOC105371622	-0.712	6.586
63923	TNN	tenascin N	-2.144	2.712
60676	PAPPA2	pappalysin 2	-1.209	3.044
460	ASTN1	astrotactin 1	-1.154	1.938
111240474	CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough	-0.955	8.219
89866	SEC16B	SEC16 homolog B, endoplasmic reticulum export factor	-0.877	6.309
730102	CRYZL2P	crystallin zeta like 2, pseudogene	-1.412	31.695
105371630	LOC105371630	uncharacterized LOC105371630	-1.674	4.749
105371629	LOC105371629	uncharacterized LOC105371629	-1.179	4.274
646976	RALGPS2-AS1	RALGPS2 antisense RNA 1	1.402	6.255
55103	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	1.106	8.484
9068	ANGPTL1	angiopoietin like 1	-1.084	3.429
6646	SOAT1	sterol O-acyltransferase 1	-2.409	3.063
163589	TDRD5	tudor domain containing 5	-1.52	1.844
9857	CEP350	centrosomal protein 350	0.573	2.063
5768	QSOX1	quiescin sulfhydryl oxidase 1	1.13	18.304
100527964	LHX4-AS1	LHX4 antisense RNA 1	-0.78	2.265
9213	XPR1	xenotropic and polytropic retrovirus receptor 1	0.901	6.821
57710	KIAA1614	KIAA1614	-0.543	3.258
103344928	KIAA1614-AS1	KIAA1614 antisense RNA 1	-0.552	1.4
10228	STX6	syntaxin 6	0.958	15.91
51278	IER5	immediate early response 5	0.863	13.193
2752	GLUL	glutamate-ammonia ligase	0.773	5.148
647070	DHX9-AS1	DHX9 antisense RNA 1	0.5	2.21
3918	LAMC2	laminin subunit gamma 2	-0.596	1.923
23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	-0.935	7.378
4688	NCF2	neutrophil cytosolic factor 2	0.965	8.482
23127	COLGALT2	collagen beta(1-O)galactosyltransferase 2	-0.833	2.204
80267	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3	1.086	11.816
81627	TRMT1L	tRNA methyltransferase 1 like	0.686	5.822
83872	HMCN1	hemicentin 1	0.882	2.809
10216	PRG4	proteoglycan 4	-0.989	2.039
5743	PTGS2	prostaglandin-endoperoxide synthase 2	1.067	2.215
64407	RGS18	regulator of G protein signaling 18	1.608	4.357
5996	RGS1	regulator of G protein signaling 1	2.186	12.085
6003	RGS13	regulator of G protein signaling 13	-0.923	1.313
100616345	MIR4426	microRNA 4426	-0.542	2.288
5997	RGS2	regulator of G protein signaling 2	-1.07	8.334
101929160	LOC101929160		0.608	2.007
343450	KCNT2	potassium sodium-activated channel subfamily T member 2	-1.053	5.488
3075	CFH	complement factor H	-0.618	1.614
10878	CFHR3	complement factor H related 3	-0.929	1.426
3078	CFHR1	complement factor H related 1	-0.805	2.12
259266	ASPM	assembly factor for spindle microtubules	2.498	21.157
163486	DENND1B	DENN domain containing 1B	0.761	4.576
5788	PTPRC	protein tyrosine phosphatase receptor type C	1.591	8.585
23528	ZNF281	zinc finger protein 281	0.568	6.258
9928	KIF14	kinesin family member 14	2.544	24.412
83479	DDX59	DEAD-box helicase 59	-0.562	9.605
23271	CAMSAP2	calmodulin regulated spectrin associated protein family member 2	0.817	5.994
23046	KIF21B	kinesin family member 21B	0.728	2.255
7139	TNNT2	troponin T2, cardiac type	-2.04	11.693
3898	LAD1	ladinin 1	1.06	23.233
1465	CSRP1	cysteine and glycine rich protein 1	-0.942	6.914
89796	NAV1	neuron navigator 1	1.12	14.349
100873949	IPO9-AS1	IPO9 antisense RNA 1	0.804	4.372
149345	SHISA4	shisa family member 4	-1.431	21.357
25802	LMOD1	leiomodin 1	-1.406	5.182
1999	ELF3	E74 like ETS transcription factor 3	1.462	8.774
9283	GPR37L1	G protein-coupled receptor 37 like 1	-0.612	3.254
127829	ARL8A	ADP ribosylation factor like GTPase 8A	-0.555	5.905
5778	PTPN7	protein tyrosine phosphatase non-receptor type 7	1.302	6.647
59352	LGR6	leucine rich repeat containing G protein-coupled receptor 6	-1.076	3.13
29089	UBE2T	ubiquitin conjugating enzyme E2 T	1.026	4.896
10765	KDM5B	lysine demethylase 5B	0.762	7.266
5877	RABIF	RAB interacting factor	0.735	6.449
134	ADORA1	adenosine A1 receptor	-1.247	4.971
730227	BTG2-DT	BTG2 divergent transcript	-1.535	4.14
5549	PRELP	proline and arginine rich end leucine rich repeat protein	-0.947	5.038
677843	SNORA77	small nucleolar RNA, H/ACA box 77	-1.274	2.47
84719	LINC00260	long intergenic non-protein coding RNA 260	-0.862	1.54
54900	LAX1	lymphocyte transmembrane adaptor 1	1.158	3.856
9580	SOX13	SRY-box transcription factor 13	-0.906	7.12
55224	ETNK2	ethanolamine kinase 2	-2.096	25.254
101929441	ERLNC1	estrogen receptor responsive lncRNA 1	-2.003	7.402
5972	REN	renin	4.43	15.74
22874	PLEKHA6	pleckstrin homology domain containing A6	-1.442	12.138
84919	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	0.548	3.987
5287	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	0.659	6.081
4194	MDM4	MDM4 regulator of p53	-0.557	2.604
105371692	LOC105371692	uncharacterized LOC105371692	-0.502	1.507
23114	NFASC	neurofascin	0.896	6.549
6900	CNTN2	contactin 2	-2.243	20.322
388730	TMEM81	transmembrane protein 81	-0.64	2.261
284578	MFSD4A-AS1	MFSD4A antisense RNA 1	-2.476	11.812
148808	MFSD4A	major facilitator superfamily domain containing 4A	-1.833	15.24
148811	PM20D1	peptidase M20 domain containing 1	-6.573	10.888
115019	SLC26A9	solute carrier family 26 member 9	2.489	27.953
103021295	LOC103021295	uncharacterized LOC103021295	0.651	5.634
440712	RHEX	regulator of hemoglobinization and erythroid cell expansion	-0.735	1.802
