GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
6283	S100A12	S100 calcium binding protein A12	-9.101	34.744
6279	S100A8	S100 calcium binding protein A8	-7.525	13.324
338324	S100A7A	S100 calcium binding protein A7A	-7.965	14.054
6278	S100A7	S100 calcium binding protein A7	-6.804	17.946
6276	S100A5	S100 calcium binding protein A5	1.125	2.255
6273	S100A2	S100 calcium binding protein A2	-2.512	12.611
140576	S100A16	S100 calcium binding protein A16	-1.565	8.565
57402	S100A14	S100 calcium binding protein A14	-1.239	3.737
6271	S100A1	S100 calcium binding protein A1	0.877	2.82
3608	ILF2	interleukin enhancer binding factor 2	-0.784	2.806
4881	NPR1	natriuretic peptide receptor 1	0.595	1.477
7170	TPM3	tropomyosin 3	-0.62	2.286
126668	TDRD10	tudor domain containing 10	0.936	2.481
6464	SHC1	SHC adaptor protein 1	-0.748	3.132
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	-0.762	1.546
127579	DCST2	DC-STAMP domain containing 2	1.397	3.014
149095	DCST1	DC-STAMP domain containing 1	0.844	2.327
4580	MTX1	metaxin 1	-0.582	3.218
2630	GBAP1	glucosylceramidase beta pseudogene 1	-2.091	13.261
2629	GBA1	glucosylceramidase beta 1	-1.406	7.022
57657	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	0.975	1.839
55870	ASH1L	ASH1 like histone lysine methyltransferase	0.627	2.794
693140	MIR555	microRNA 555	0.584	1.413
6016	RIT1	Ras like without CAAX 1	-0.74	2.808
28956	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	-0.603	1.469
57111	RAB25	RAB25, member RAS oncogene family	-1.113	5.548
92312	MEX3A	mex-3 RNA binding family member A	1.083	2.641
632	BGLAP	bone gamma-carboxyglutamate protein	0.63	1.657
79957	PAQR6	progestin and adipoQ receptor family member 6	0.893	1.816
84283	TMEM79	transmembrane protein 79	-1.057	5.762
7203	CCT3	chaperonin containing TCP1 subunit 3	-0.728	3.393
105371453	BCAN-AS1	BCAN antisense RNA 1	0.932	2.215
63827	BCAN	brevican	1.558	4.114
1382	CRABP2	cellular retinoic acid binding protein 2	-2.46	16.856
81875	ISG20L2	interferon stimulated exonuclease gene 20 like 2	-0.533	6.172
3068	HDGF	heparin binding growth factor	-0.614	3.306
9047	SH2D2A	SH2 domain containing 2A	-2.183	10.377
375033	PEAR1	platelet endothelial aggregation receptor 1	0.608	1.383
115352	FCRL3	Fc receptor like 3	-2.432	3.887
909	CD1A	CD1a molecule	0.913	2.602
4332	MNDA	myeloid cell nuclear differentiation antigen	-0.699	1.961
149628	PYHIN1	pyrin and HIN domain family member 1	-0.909	1.845
3428	IFI16	interferon gamma inducible protein 16	-1.362	15.06
9447	AIM2	absent in melanoma 2	-2.917	10.975
57863	CADM3	cell adhesion molecule 3	1.193	4.281
100131825	CADM3-AS1	CADM3 antisense RNA 1	1.272	5.419
2532	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	0.708	3.583
54935	DUSP23	dual specificity phosphatase 23	-0.592	1.556
56833	SLAMF8	SLAM family member 8	-0.745	3.657
107985216	LOC107985216	uncharacterized LOC107985216	0.757	1.468
25790	CFAP45	cilia and flagella associated protein 45	-1.565	5.421
8407	TAGLN2	transgelin 2	-0.766	5.28
57549	IGSF9	immunoglobulin superfamily member 9	0.798	1.776
89886	SLAMF9	SLAM family member 9	0.543	1.314
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	1.364	4.613
105371466	LOC105371466	uncharacterized LOC105371466	1.097	5.696
114836	SLAMF6	SLAM family member 6	-1.174	2.325
6504	SLAMF1	signaling lymphocytic activation molecule family member 1	-1.201	3.335
57823	SLAMF7	SLAM family member 7	-2.148	9.251
4063	LY9	lymphocyte antigen 9	-0.796	1.828
51744	CD244	CD244 molecule	-0.957	1.62
126823	KLHDC9	kelch domain containing 9	0.848	2.359
5498	PPOX	protoporphyrinogen oxidase	0.658	4.21
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	-1.566	3.275
84134	TOMM40L	translocase of outer mitochondrial membrane 40 like	-0.829	5.025
100847090	MIR5187	microRNA 5187	-0.995	2.785
9970	NR1I3	nuclear receptor subfamily 1 group I member 3	-0.552	2.719
4359	MPZ	myelin protein zero	1.83	9.68
2212	FCGR2A	Fc gamma receptor IIa	-1.384	4.111
3310	HSPA6	heat shock protein family A (Hsp70) member 6	-1.389	8.565
2214	FCGR3A	Fc gamma receptor IIIa	-2.58	12.179
2215	FCGR3B	Fc gamma receptor IIIb	-1.505	1.769
11266	DUSP12	dual specificity phosphatase 12	-0.692	3.226
9722	NOS1AP	nitric oxide synthase 1 adaptor protein	0.62	1.485
4921	DDR2	discoidin domain receptor tyrosine kinase 2	0.677	1.605
83540	NUF2	NUF2 component of NDC80 kinetochore complex	-1.343	4.578
6258	RXRG	retinoid X receptor gamma	1.255	5.889
54499	TMCO1	transmembrane and coiled-coil domains 1	-0.535	1.424
7371	UCK2	uridine-cytidine kinase 2	-0.801	7.905
100500832	MIR3658	microRNA 3658	-1.567	8.243
149297	FAM78B	family with sequence similarity 78 member B	0.768	2.284
105371586	FAM78B-AS1	FAM78B antisense RNA 1	1.168	2.025
5451	POU2F1	POU class 2 homeobox 1	0.544	1.769
919	CD247	CD247 molecule	-1.209	3.57
101928512	LOC101928512	uncharacterized LOC101928512	0.803	1.907
9019	MPZL1	myelin protein zero like 1	-0.638	10.154
6375	XCL1	X-C motif chemokine ligand 1	-1.321	1.903
8548	BLZF1	basic leucine zipper nuclear factor 1	-0.814	2.934
6402	SELL	selectin L	-1.942	8.12
6401	SELE	selectin E	-1.413	3.6
2328	FMO3	flavin containing dimethylaniline monoxygenase 3	-1.916	4.397
105371611	LOC105371611	uncharacterized LOC105371611	-1.181	1.569
2327	FMO2	flavin containing dimethylaniline monoxygenase 2	-1.31	3.371
2326	FMO1	flavin containing dimethylaniline monoxygenase 1	-0.725	1.676
2329	FMO4	flavin containing dimethylaniline monoxygenase 4	0.684	2.975
100628315	DNM3OS	DNM3 opposite strand/antisense RNA	0.69	1.709
51430	SUCO	SUN domain containing ossification factor	-0.683	2.458
356	FASLG	Fas ligand	-1.376	3.706
91687	CENPL	centromere protein L	-0.935	3.478
692196	SNORD76	small nucleolar RNA, C/D box 76	-0.78	1.342
84614	ZBTB37	zinc finger and BTB domain containing 37	0.714	2.403
105371622	LOC105371622	uncharacterized LOC105371622	0.91	6.732
27101	CACYBP	calcyclin binding protein	-0.668	1.489
111240474	CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough	0.75	3.954
730102	CRYZL2P	crystallin zeta like 2, pseudogene	0.714	4.631
9462	RASAL2	RAS protein activator like 2	0.537	2.047
400798	C1orf220	chromosome 1 putative open reading frame 220	1.051	2.128
646976	RALGPS2-AS1	RALGPS2 antisense RNA 1	-1.136	4.036
55103	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	-0.962	7.672
64222	TOR3A	torsin family 3 member A	-0.517	2.176
6646	SOAT1	sterol O-acyltransferase 1	1.826	1.529
5768	QSOX1	quiescin sulfhydryl oxidase 1	-0.633	2.455
57710	KIAA1614	KIAA1614	0.724	2.827
10228	STX6	syntaxin 6	-0.511	2.601
51278	IER5	immediate early response 5	-0.581	3.726
2752	GLUL	glutamate-ammonia ligase	-0.79	5.61
6004	RGS16	regulator of G protein signaling 16	-0.815	2.489
3918	LAMC2	laminin subunit gamma 2	0.588	1.456
23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	0.718	1.898
4688	NCF2	neutrophil cytosolic factor 2	-0.868	3.502
116461	TSEN15	tRNA splicing endonuclease subunit 15	-0.855	2.507
5743	PTGS2	prostaglandin-endoperoxide synthase 2	-2.861	6.253
5996	RGS1	regulator of G protein signaling 1	-2.705	7.14
51377	UCHL5	ubiquitin C-terminal hydrolase L5	-0.584	2.533
51022	GLRX2	glutaredoxin 2	-0.588	1.314
101929160	LOC101929160		-0.517	1.384
343450	KCNT2	potassium sodium-activated channel subfamily T member 2	0.926	2.025
259266	ASPM	assembly factor for spindle microtubules	-0.775	1.981
5788	PTPRC	protein tyrosine phosphatase receptor type C	-1.036	3.448
2494	NR5A2	nuclear receptor subfamily 5 group A member 2	0.565	2.624
9928	KIF14	kinesin family member 14	-0.962	3.047
7139	TNNT2	troponin T2, cardiac type	1.862	9.521
3898	LAD1	ladinin 1	-1.176	5.843
7135	TNNI1	troponin I1, slow skeletal type	0.661	1.452
149345	SHISA4	shisa family member 4	0.588	2.098
25802	LMOD1	leiomodin 1	0.722	1.9
10440	TIMM17A	translocase of inner mitochondrial membrane 17A	-0.871	2.251
112268254	LOC112268254		1.12	1.848
102723465	ELF3-AS1	ELF3 antisense RNA 1	-1.702	4.518
1999	ELF3	E74 like ETS transcription factor 3	-1.263	3.242
9283	GPR37L1	G protein-coupled receptor 37 like 1	0.851	2.9
5778	PTPN7	protein tyrosine phosphatase non-receptor type 7	-0.815	2.387
29089	UBE2T	ubiquitin conjugating enzyme E2 T	-1.569	7.012
4660	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	0.531	2.119
5877	RABIF	RAB interacting factor	-0.912	3.813
92703	TMEM183A	transmembrane protein 183A	-0.744	1.386
134	ADORA1	adenosine A1 receptor	1.756	2.573
5549	PRELP	proline and arginine rich end leucine rich repeat protein	1.171	3.821
84719	LINC00260	long intergenic non-protein coding RNA 260	1.075	1.822
9580	SOX13	SRY-box transcription factor 13	1.011	3.401
55224	ETNK2	ethanolamine kinase 2	0.904	3.731
5972	REN	renin	-4.396	10.502
22874	PLEKHA6	pleckstrin homology domain containing A6	1.315	6.603
84919	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	-0.695	10.122
4194	MDM4	MDM4 regulator of p53	0.564	1.379
105371692	LOC105371692	uncharacterized LOC105371692	0.876	1.401
10446	LRRN2	leucine rich repeat neuronal 2	0.806	1.432
6900	CNTN2	contactin 2	2.347	27.056
25778	DSTYK	dual serine/threonine and tyrosine protein kinase	0.72	3.955
9911	TMCC2	transmembrane and coiled-coil domain family 2	0.769	1.97
284578	MFSD4A-AS1	MFSD4A antisense RNA 1	1.593	3.658
148808	MFSD4A	major facilitator superfamily domain containing 4A	1.598	4.159
115019	SLC26A9	solute carrier family 26 member 9	-3.161	10.776
23380	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	0.751	4.108
9641	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	-1.307	13.034
83593	RASSF5	Ras association domain family member 5	-0.538	1.715
3586	IL10	interleukin 10	-1.343	2.004
29949	IL19	interleukin 19	-6.657	13.968
50604	IL20	interleukin 20	-5.149	8.353
9214	FCMR	Fc mu receptor	-1.38	4.863
55432	YOD1	YOD1 deubiquitinase	-1.424	3.102
5208	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	-0.602	2.461
1378	CR1	complement C3b/C4b receptor 1 (Knops blood group)	-0.891	1.305
100128537	MIR29B2CHG	MIR29B2 and MIR29C host gene	1.513	5.65
947	CD34	CD34 molecule	0.886	7.816
5362	PLXNA2	plexin A2	0.757	2.677
101929476	LINC01698	long intergenic non-protein coding RNA 1698	2.59	2.981
3290	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	1.915	1.567
80342	TRAF3IP3	TRAF3 interacting protein 3	-0.59	1.38
4751	NEK2	NIMA related kinase 2	-1.364	4.159
25896	INTS7	integrator complex subunit 7	-0.533	1.848
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	-0.863	3.036
55248	PACC1	proton activated chloride channel 1	-0.902	3.943
55509	BATF3	basic leucine zipper ATF-like transcription factor 3	-1.407	5.008
56950	SMYD2	SET and MYND domain containing 2	-0.7	2.308
5784	PTPN14	protein tyrosine phosphatase non-receptor type 14	1.048	6.248
3776	KCNK2	potassium two pore domain channel subfamily K member 2	1.368	3.937
2104	ESRRG	estrogen related receptor gamma	1.63	3.139
128153	SPATA17	spermatogenesis associated 17	0.842	1.475
51018	RRP15	ribosomal RNA processing 15 homolog	-0.519	2.354
7042	TGFB2	transforming growth factor beta 2	0.568	1.752
103611157	TGFB2-OT1	TGFB2 overlapping transcript 1	1.002	3.425
643136	ZC3H11B	zinc finger CCCH-type containing 11B	0.633	2.523
79762	C1orf115	chromosome 1 open reading frame 115	1.127	4.482
54996	MTARC2	mitochondrial amidoxime reducing component 2	0.874	2.824
64757	MTARC1	mitochondrial amidoxime reducing component 1	1.082	1.884
84976	DISP1	dispatched RND transporter family member 1	0.502	2.186
441124	GTF2IP20	general transcription factor IIi pseudogene 20	0.977	1.567
100287497	SEPTIN7P13	septin 7 pseudogene 13	0.797	1.784
55740	ENAH	ENAH actin regulator	-0.684	5.211
2052	EPHX1	epoxide hydrolase 1	0.646	4.381
9725	TMEM63A	transmembrane protein 63A	0.77	1.597
375057	STUM	stum, mechanosensory transduction mediator homolog	1.179	4.464
3707	ITPKB	inositol-trisphosphate 3-kinase B	0.826	4.822
56997	COQ8A	coenzyme Q8A	0.851	4.687
105379282	LOC105379282		1.325	2.418
8476	CDC42BPA	CDC42 binding protein kinase alpha	0.798	5.033
7483	WNT9A	Wnt family member 9A	1.035	2.408
89780	WNT3A	Wnt family member 3A	0.974	2.142
57165	GJC2	gap junction protein gamma 2	1.127	8.446
574407	OBSCN-AS1	OBSCN antisense RNA 1	0.922	1.336
51127	TRIM17	tripartite motif containing 17	0.733	1.528
79605	PGBD5	piggyBac transposable element derived 5	-2.095	5.918
107985358	LOC107985358	uncharacterized LOC107985358	-0.707	3.524
183	AGT	angiotensinogen	1.247	1.594
375061	FAM89A	family with sequence similarity 89 member A	-0.939	1.498
100302132	MIR1182	microRNA 1182	-1.193	2.157
112268256	LOC112268256		1.072	2.009
107985361	LOC107985361	uncharacterized LOC107985361	-0.803	1.577
80003	PCNX2	pecanex 2	0.607	1.481
84451	MAP3K21	mitogen-activated protein kinase kinase kinase 21	0.583	1.307
3775	KCNK1	potassium two pore domain channel subfamily K member 1	-0.934	2.563
101927765	COA6-AS1	COA6 antisense RNA 1	-0.772	1.635
388753	COA6	cytochrome c oxidase assembly factor 6	-0.905	1.699
731656	LINC01348	long intergenic non-protein coding RNA 1348	-1.117	2.103
51742	ARID4B	AT-rich interaction domain 4B	0.531	1.747
1130	LYST	lysosomal trafficking regulator	0.513	2.35
100287902	LGALS8-AS1	LGALS8 antisense RNA 1	-0.891	4.214
107985367	LOC107985367		-0.536	4.006
4548	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	0.81	3.391
6262	RYR2	ryanodine receptor 2	0.953	2.571
1131	CHRM3	cholinergic receptor muscarinic 3	2.141	3.691
64388	GREM2	gremlin 2, DAN family BMP antagonist	1.913	4.67
9156	EXO1	exonuclease 1	-1.376	9.517
10000	AKT3	AKT serine/threonine kinase 3	0.556	2.417
101928068	LOC101928068	uncharacterized LOC101928068	0.74	1.487
84288	EFCAB2	EF-hand calcium binding domain 2	0.513	1.6
64216	TFB2M	transcription factor B2, mitochondrial	-0.861	3.416
114548	NLRP3	NLR family pyrin domain containing 3	-0.929	1.673
80851	SH3BP5L	SH3 binding domain protein 5 like	-0.554	2.128
102724250	LOC102724250	neuroblastoma breakpoint family member 1-like	0.871	2.751
102724562	LOC102724562	macrophage stimulating 1 pseudogene	1.669	2.474
642273	FAM110C	family with sequence similarity 110 member C	-1.86	14.243
285016	ALKAL2	ALK and LTK ligand 2	2.043	10.374
101927262	LOC101927262	uncharacterized LOC101927262	2.008	7.947
54221	SNTG2	syntrophin gamma 2	0.96	1.784
7173	TPO	thyroid peroxidase	1.219	1.928
7260	EIPR1	EARP complex and GARP complex interacting protein 1	-0.787	4.89
129607	CMPK2	cytidine/uridine monophosphate kinase 2	-2.496	10.928
91543	RSAD2	radical S-adenosyl methionine domain containing 2	-2.823	12.364
9781	RNF144A	ring finger protein 144A	0.582	3.399
101929531	LINC01871	long intergenic non-protein coding RNA 1871	-1.437	2.132
8853	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	0.561	2.294
6868	ADAM17	ADAM metallopeptidase domain 17	-0.745	8.935
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	-0.929	2.805
9014	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	-0.858	5.916
29841	GRHL1	grainyhead like transcription factor 1	-0.516	1.817
112268412	LOC112268412	uncharacterized LOC112268412	1.079	4.252
101929882	KLF11-DT	KLF11 divergent transcript	1.076	2.023
192668	CYS1	cystin 1	1.075	3.507
6241	RRM2	ribonucleotide reductase regulatory subunit M2	-2.322	21.556
4953	ODC1	ornithine decarboxylase 1	-1.103	2
79954	NOL10	nucleolar protein 10	-0.638	5.099
245973	ATP6V1C2	ATPase H+ transporting V1 subunit C2	-0.774	7.11
105373428	LOC105373428	uncharacterized LOC105373428	-0.908	2.414
10130	PDIA6	protein disulfide isomerase family A member 6	-0.677	2.72
9687	GREB1	growth regulating estrogen receptor binding 1	1.032	2.959
28951	TRIB2	tribbles pseudokinase 2	-0.556	2.183
151354	LRATD1	LRAT domain containing 1	-0.676	2.446
1653	DDX1	DEAD-box helicase 1	-0.545	2.941
7447	VSNL1	visinin like 1	-1.403	11.771
3790	KCNS3	potassium voltage-gated channel modifier subfamily S member 3	-0.546	1.431
130497	OSR1	odd-skipped related transcription factor 1	0.84	3.109
57539	WDR35	WD repeat domain 35	0.596	3.52
4148	MATN3	matrilin 3	0.726	1.793
388	RHOB	ras homolog family member B	0.612	3.885
151449	GDF7	growth differentiation factor 7	1.066	5
105374317	LOC105374317	uncharacterized LOC105374317	3.053	5.166
114818	KLHL29	kelch like family member 29	0.67	1.62
388931	MFSD2B	MFSD2 lysolipid transporter B, sphingolipid	-2.423	16.498
2281	FKBP1B	FKBP prolyl isomerase 1B	-0.954	2.562
51639	SF3B6	splicing factor 3b subunit 6	-0.548	1.435
9540	TP53I3	tumor protein p53 inducible protein 3	-0.743	3.169
375189	PFN4	profilin family member 4	0.648	1.469
50618	ITSN2	intersectin 2	-0.691	9.024
79172	CENPO	centromere protein O	-0.659	1.994
101929272	DTNB-AS1	DTNB antisense RNA 1	0.758	1.483
3797	KIF3C	kinesin family member 3C	0.714	3.634
10890	RAB10	RAB10, member RAS oncogene family	-0.993	6.373
105374333	LOC105374333	uncharacterized LOC105374333	-0.877	1.409
150946	GAREM2	GRB2 associated regulator of MAPK1 subtype 2	0.522	1.962
1058	CENPA	centromere protein A	-0.731	1.888
22924	MAPRE3	microtubule associated protein RP/EB family member 3	0.696	7.321
10113	PREB	prolactin regulatory element binding	-0.58	3.135
26160	IFT172	intraflagellar transport 172	0.648	1.893
64838	FNDC4	fibronectin type III domain containing 4	0.997	2.425
79635	CCDC121	coiled-coil domain containing 121	0.762	2.693
100302650	BABAM2-AS1	BABAM2 antisense RNA 1	-0.898	2.823
23160	WDR43	WD repeat domain 43	-0.768	5.641
165186	TOGARAM2	TOG array regulator of axonemal microtubules 2	1.219	2.339
388939	PCARE	photoreceptor cilium actin regulator	1.268	5.04
7498	XDH	xanthine dehydrogenase	-2.278	7.129
51072	MEMO1	mediator of cell motility 1	-1	3.818
55622	TTC27	tetratricopeptide repeat domain 27	-0.518	4.967
105374454	RASGRP3-AS1	RASGRP3 antisense RNA 1	0.691	1.496
25940	FAM98A	family with sequence similarity 98 member A	-0.639	4.819
51232	CRIM1	cysteine rich transmembrane BMP regulator 1	0.729	2.335
5212	VIT	vitrin	0.66	1.638
54497	HEATR5B	HEAT repeat containing 5B	0.548	1.525
105374464	LINC03063	long intergenic non-protein coding RNA 3063	-1.006	2.022
1545	CYP1B1	cytochrome P450 family 1 subfamily B member 1	0.967	1.809
285154	CYP1B1-AS1	CYP1B1 antisense RNA 1	1.448	2.464
6432	SRSF7	serine and arginine rich splicing factor 7	-0.727	2.488
130733	TMEM178A	transmembrane protein 178A	0.746	1.439
6546	SLC8A1	solute carrier family 8 member A1	0.966	5.495
105374491	LOC105374491	uncharacterized LOC105374491	2.444	3.869
165140	OXER1	oxoeicosanoid receptor 1	1.066	1.983
23498	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	0.552	3.15
107985875	LOC107985875		0.861	2.588
102723854	LINC01819	long intergenic non-protein coding RNA 1819	0.652	1.608
107985876	LOC107985876	uncharacterized LOC107985876	1.385	2.318
130271	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2	0.924	1.837
105374584	LOC105374584	uncharacterized LOC105374584	1.356	2.716
4072	EPCAM	epithelial cell adhesion molecule	1.215	2.288
3344	FOXN2	forkhead box N2	-0.735	2.942
286749	STON1-GTF2A1L	STON1-GTF2A1L readthrough	0.786	2.063
11037	STON1	stonin 1	0.845	3.446
9378	NRXN1	neurexin 1	1.544	5.91
494143	CHAC2	ChaC glutathione specific gamma-glutamylcyclotransferase 2	-1.78	4.411
6711	SPTBN1	spectrin beta, non-erythrocytic 1	0.752	4.719
57142	RTN4	reticulon 4	0.58	1.387
87178	PNPT1	polyribonucleotide nucleotidyltransferase 1	-0.723	6.252
114800	CCDC85A	coiled-coil domain containing 85A	0.627	2.21
7444	VRK2	VRK serine/threonine kinase 2	-0.82	5.878
107984043	LOC107984043	formin-2-like	-0.851	2.916
5966	REL	REL proto-oncogene, NF-kB subunit	-0.747	4.601
150962	PUS10	pseudouridine synthase 10	-0.564	2.655
5194	PEX13	peroxisomal biogenesis factor 13	-0.624	2.648
130872	AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene	0.991	1.951
57162	PELI1	pellino E3 ubiquitin protein ligase 1	-0.534	2.298
100507006	LOC100507006	uncharacterized LOC100507006	0.817	1.802
105374774	LINC01805	long intergenic non-protein coding RNA 1805	1.423	3.009
101927402	AFTPH-DT	AFTPH divergent transcript	-1.3	5.744
23177	CEP68	centrosomal protein 68	0.658	4.145
5861	RAB1A	RAB1A, member RAS oncogene family	-0.653	1.977
4211	MEIS1	Meis homeobox 1	0.75	5.071
56902	PNO1	partner of NOB1 homolog	-1.056	2.892
5341	PLEK	pleckstrin	-2.218	5.318
9938	ARHGAP25	Rho GTPase activating protein 25	-0.682	2.483
84168	ANTXR1	ANTXR cell adhesion molecule 1	0.564	1.581
4084	MXD1	MAX dimerization protein 1	-2.236	18.082
6637	SNRPG	small nuclear ribonucleoprotein polypeptide G	-1.162	2.249
84908	FAM136A	family with sequence similarity 136 member A	-0.627	4.01
7039	TGFA	transforming growth factor alpha	-1.331	4.465
119	ADD2	adducin 2	0.927	2.528
165530	CLEC4F	C-type lectin domain family 4 member F	2.043	2.767
