GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
6703	SPRR2D	small proline rich protein 2D	-4.972	20.087
6700	SPRR2A	small proline rich protein 2A	-6.732	19.132
6701	SPRR2B	small proline rich protein 2B	-6.45	25.539
6704	SPRR2E	small proline rich protein 2E	-3.484	18.637
6705	SPRR2F	small proline rich protein 2F	-6.799	18.919
6702	SPRR2C	small proline rich protein 2C (pseudogene)	-7.428	11.685
6706	SPRR2G	small proline rich protein 2G	-4.437	21.095
101928009	LOC101928009	uncharacterized LOC101928009	1.323	2.298
114771	PGLYRP3	peptidoglycan recognition protein 3	-1.038	4.993
57115	PGLYRP4	peptidoglycan recognition protein 4	-1.549	8.952
6280	S100A9	S100 calcium binding protein A9	-6.824	20.996
6283	S100A12	S100 calcium binding protein A12	-8.701	28.517
6279	S100A8	S100 calcium binding protein A8	-6.753	20.508
338324	S100A7A	S100 calcium binding protein A7A	-8.353	41.308
6278	S100A7	S100 calcium binding protein A7	-6.36	33.266
6276	S100A5	S100 calcium binding protein A5	0.925	2.588
6273	S100A2	S100 calcium binding protein A2	-2.364	13.943
140576	S100A16	S100 calcium binding protein A16	-1.402	9.565
57402	S100A14	S100 calcium binding protein A14	-1.29	6.921
6271	S100A1	S100 calcium binding protein A1	0.675	2.616
23557	SNAPIN	SNAP associated protein	-0.584	1.944
3608	ILF2	interleukin enhancer binding factor 2	-0.742	4.009
4881	NPR1	natriuretic peptide receptor 1	0.705	3.103
7170	TPM3	tropomyosin 3	-0.564	3.265
10456	HAX1	HCLS1 associated protein X-1	-0.63	1.83
126668	TDRD10	tudor domain containing 10	0.671	1.824
105371449	LOC105371449	uncharacterized LOC105371449	1.044	1.371
10654	PMVK	phosphomevalonate kinase	0.828	2.255
101928120	LOC101928120	uncharacterized LOC101928120	-0.503	4.535
6464	SHC1	SHC adaptor protein 1	-0.686	3.849
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	-0.855	2.983
127579	DCST2	DC-STAMP domain containing 2	1.107	2.182
149095	DCST1	DC-STAMP domain containing 1	0.71	2.211
100505666	DCST1-AS1	DCST1 antisense RNA 1	0.538	1.778
4582	MUC1	mucin 1, cell surface associated	2.368	2.857
4580	MTX1	metaxin 1	-0.501	3.507
2630	GBAP1	glucosylceramidase beta pseudogene 1	-2.159	20.4
2629	GBA1	glucosylceramidase beta 1	-1.298	9.4
10712	ENTREP3	endosomal transmembrane epsin interactor 3	-0.53	3.229
57657	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	0.816	1.659
5313	PKLR	pyruvate kinase L/R	2.201	2.451
2224	FDPS	farnesyl diphosphate synthase	0.761	1.334
55870	ASH1L	ASH1 like histone lysine methyltransferase	0.65	3.371
6016	RIT1	Ras like without CAAX 1	-0.648	3.175
28956	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	-0.605	2.394
57111	RAB25	RAB25, member RAS oncogene family	-1.053	7.623
100527963	PMF1-BGLAP	PMF1-BGLAP readthrough	-0.536	2.71
11243	PMF1	polyamine modulated factor 1	-0.525	2.744
84283	TMEM79	transmembrane protein 79	-0.922	5.995
7203	CCT3	chaperonin containing TCP1 subunit 3	-0.725	5.373
128239	IQGAP3	IQ motif containing GTPase activating protein 3	-0.664	2.01
128240	NAXE	NAD(P)HX epimerase	-0.649	1.999
105371453	BCAN-AS1	BCAN antisense RNA 1	1.052	2.438
63827	BCAN	brevican	0.766	2.197
1382	CRABP2	cellular retinoic acid binding protein 2	-2.255	16.824
81875	ISG20L2	interferon stimulated exonuclease gene 20 like 2	-0.519	6.614
9047	SH2D2A	SH2 domain containing 2A	-2.102	14.049
440695	ETV3L	ETS variant transcription factor 3 like	-0.632	1.498
909	CD1A	CD1a molecule	0.77	2.586
910	CD1B	CD1b molecule	-0.922	1.597
4332	MNDA	myeloid cell nuclear differentiation antigen	-0.751	3.338
149628	PYHIN1	pyrin and HIN domain family member 1	-0.925	2.249
3428	IFI16	interferon gamma inducible protein 16	-1.354	18.237
107181291	PYDC5	pyrin domain containing 5	-0.693	1.553
9447	AIM2	absent in melanoma 2	-2.747	15.661
57863	CADM3	cell adhesion molecule 3	1.395	5.052
100131825	CADM3-AS1	CADM3 antisense RNA 1	1.343	5.142
54935	DUSP23	dual specificity phosphatase 23	-0.589	2.233
56833	SLAMF8	SLAM family member 8	-0.65	3.53
25790	CFAP45	cilia and flagella associated protein 45	-1.356	4.74
8407	TAGLN2	transgelin 2	-0.636	3.709
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	1.329	6.131
4807	NHLH1	nescient helix-loop-helix 1	1.953	3.984
105371466	LOC105371466	uncharacterized LOC105371466	0.856	4.142
114836	SLAMF6	SLAM family member 6	-1.208	3.614
6504	SLAMF1	signaling lymphocytic activation molecule family member 1	-1.333	6.539
962	CD48	CD48 molecule	-1.493	6.183
57823	SLAMF7	SLAM family member 7	-2.159	18.133
4063	LY9	lymphocyte antigen 9	-0.798	2.744
51744	CD244	CD244 molecule	-0.987	2.827
126823	KLHDC9	kelch domain containing 9	0.544	1.352
5202	PFDN2	prefoldin subunit 2	-0.59	3.182
51506	UFC1	ubiquitin-fold modifier conjugating enzyme 1	-0.569	1.515
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	-2.046	7.611
84134	TOMM40L	translocase of outer mitochondrial membrane 40 like	-0.798	6.873
100847090	MIR5187	microRNA 5187	-0.797	2.598
9970	NR1I3	nuclear receptor subfamily 1 group I member 3	-0.509	2.539
4359	MPZ	myelin protein zero	1.687	7.202
2212	FCGR2A	Fc gamma receptor IIa	-1.381	5.874
3310	HSPA6	heat shock protein family A (Hsp70) member 6	-1.303	9.711
2214	FCGR3A	Fc gamma receptor IIIa	-2.594	15.933
2215	FCGR3B	Fc gamma receptor IIIb	-2.745	7.705
127943	FCRLB	Fc receptor like B	-0.814	1.945
11266	DUSP12	dual specificity phosphatase 12	-0.706	4.477
4921	DDR2	discoidin domain receptor tyrosine kinase 2	0.84	2.965
83540	NUF2	NUF2 component of NDC80 kinetochore complex	-1.615	8.368
5087	PBX1	PBX homeobox 1	0.505	4.084
4009	LMX1A	LIM homeobox transcription factor 1 alpha	2.34	7.215
6258	RXRG	retinoid X receptor gamma	0.958	4.391
54499	TMCO1	transmembrane and coiled-coil domains 1	-0.526	2.209
7371	UCK2	uridine-cytidine kinase 2	-0.857	12.484
100500832	MIR3658	microRNA 3658	-1.67	12.294
149297	FAM78B	family with sequence similarity 78 member B	0.685	2.347
105371586	FAM78B-AS1	FAM78B antisense RNA 1	0.896	2.101
919	CD247	CD247 molecule	-1.34	5.889
101928512	LOC101928512	uncharacterized LOC101928512	1.106	5.401
9019	MPZL1	myelin protein zero like 1	-0.565	9.404
261726	TIPRL	TOR signaling pathway regulator	-0.582	1.992
6846	XCL2	X-C motif chemokine ligand 2	-1.914	3.869
6375	XCL1	X-C motif chemokine ligand 1	-1.31	2.424
481	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-0.607	1.514
29922	NME7	NME/NM23 family member 7	-0.674	2.914
8548	BLZF1	basic leucine zipper nuclear factor 1	-0.812	4.731
6402	SELL	selectin L	-2.193	13.732
6401	SELE	selectin E	-1.319	4.641
2328	FMO3	flavin containing dimethylaniline monoxygenase 3	-1.522	3.38
2327	FMO2	flavin containing dimethylaniline monoxygenase 2	-1.48	6.771
2326	FMO1	flavin containing dimethylaniline monoxygenase 1	-0.841	2.543
100628315	DNM3OS	DNM3 opposite strand/antisense RNA	0.514	1.348
356	FASLG	Fas ligand	-1.482	5.998
91687	CENPL	centromere protein L	-0.916	5.544
26774	SNORD80	small nucleolar RNA, C/D box 80	-0.799	2.551
692196	SNORD76	small nucleolar RNA, C/D box 76	-0.821	2.16
84614	ZBTB37	zinc finger and BTB domain containing 37	0.576	2.175
105371622	LOC105371622	uncharacterized LOC105371622	0.602	2.937
27101	CACYBP	calcyclin binding protein	-0.687	2.279
63923	TNN	tenascin N	1.62	2.665
111240474	CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough	0.643	3.855
730102	CRYZL2P	crystallin zeta like 2, pseudogene	0.717	6.09
646976	RALGPS2-AS1	RALGPS2 antisense RNA 1	-0.789	3.449
55103	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	-0.889	7.451
6646	SOAT1	sterol O-acyltransferase 1	2.589	4.241
89884	LHX4	LIM homeobox 4	0.881	2.033
57710	KIAA1614	KIAA1614	0.616	3.056
103344928	KIAA1614-AS1	KIAA1614 antisense RNA 1	0.546	1.688
2752	GLUL	glutamate-ammonia ligase	-0.744	7.462
6004	RGS16	regulator of G protein signaling 16	-0.865	3.573
3915	LAMC1	laminin subunit gamma 1	0.65	2.354
3918	LAMC2	laminin subunit gamma 2	0.565	2.415
4688	NCF2	neutrophil cytosolic factor 2	-0.67	3.047
10092	ARPC5	actin related protein 2/3 complex subunit 5	-0.67	2.363
116461	TSEN15	tRNA splicing endonuclease subunit 15	-0.832	4.177
5743	PTGS2	prostaglandin-endoperoxide synthase 2	-2.635	6.928
64407	RGS18	regulator of G protein signaling 18	-0.999	3.135
5996	RGS1	regulator of G protein signaling 1	-3.146	19.001
51377	UCHL5	ubiquitin C-terminal hydrolase L5	-0.512	3.558
343450	KCNT2	potassium sodium-activated channel subfamily T member 2	0.907	2.478
259266	ASPM	assembly factor for spindle microtubules	-1.11	4.793
5788	PTPRC	protein tyrosine phosphatase receptor type C	-1.003	6.299
9928	KIF14	kinesin family member 14	-1.317	7.619
23046	KIF21B	kinesin family member 21B	-0.665	1.547
7139	TNNT2	troponin T2, cardiac type	1.591	10.525
3898	LAD1	ladinin 1	-0.854	4.141
7135	TNNI1	troponin I1, slow skeletal type	0.782	3.342
25802	LMOD1	leiomodin 1	0.765	2.652
10440	TIMM17A	translocase of inner mitochondrial membrane 17A	-0.894	4.337
112268254	LOC112268254		0.881	1.703
102723465	ELF3-AS1	ELF3 antisense RNA 1	-1.599	6.039
1999	ELF3	E74 like ETS transcription factor 3	-1.288	6.903
9283	GPR37L1	G protein-coupled receptor 37 like 1	0.566	1.915
5778	PTPN7	protein tyrosine phosphatase non-receptor type 7	-0.835	2.827
29089	UBE2T	ubiquitin conjugating enzyme E2 T	-1.641	9.687
4660	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	0.603	3.442
127833	SYT2	synaptotagmin 2	0.838	1.835
5877	RABIF	RAB interacting factor	-0.85	5.917
92703	TMEM183A	transmembrane protein 183A	-0.869	2.995
134	ADORA1	adenosine A1 receptor	1.219	2.958
1116	CHI3L1	chitinase 3 like 1	1.816	2.643
730227	BTG2-DT	BTG2 divergent transcript	1.692	3.982
5549	PRELP	proline and arginine rich end leucine rich repeat protein	1.405	5.527
493	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	0.583	2.858
6635	SNRPE	small nuclear ribonucleoprotein polypeptide E	-0.537	1.583
9580	SOX13	SRY-box transcription factor 13	0.789	3.611
55224	ETNK2	ethanolamine kinase 2	0.921	4.781
5972	REN	renin	-3.358	7.573
22874	PLEKHA6	pleckstrin homology domain containing A6	1.232	10.117
84919	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	-0.629	11.018
23114	NFASC	neurofascin	-0.507	2.173
6900	CNTN2	contactin 2	2.131	17.369
284578	MFSD4A-AS1	MFSD4A antisense RNA 1	1.488	6.196
148808	MFSD4A	major facilitator superfamily domain containing 4A	1.307	5.228
85414	SLC45A3	solute carrier family 45 member 3	0.592	2.376
254428	SLC41A1	solute carrier family 41 member 1	0.64	1.427
148811	PM20D1	peptidase M20 domain containing 1	2.602	1.397
115019	SLC26A9	solute carrier family 26 member 9	-2.071	5.926
103021295	LOC103021295	uncharacterized LOC103021295	-0.575	2.038
23380	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	0.768	5.21
9641	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	-1.086	9.687
3586	IL10	interleukin 10	-1.419	3.507
9214	FCMR	Fc mu receptor	-1.516	7.394
55432	YOD1	YOD1 deubiquitinase	-1.554	7.229
100128537	MIR29B2CHG	MIR29B2 and MIR29C host gene	0.913	2.785
947	CD34	CD34 molecule	0.969	6.74
105372883	LINC02767	long intergenic non-protein coding RNA 2767	0.738	1.411
5362	PLXNA2	plexin A2	0.735	3.237
101929476	LINC01698	long intergenic non-protein coding RNA 1698	1.889	1.901
642587	MIR205HG	MIR205 host gene	-0.548	4.044
406988	MIR205	microRNA 205	-0.647	3.787
3290	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	2.157	3.355
80342	TRAF3IP3	TRAF3 interacting protein 3	-0.711	2.656
4751	NEK2	NIMA related kinase 2	-1.652	8.887
25896	INTS7	integrator complex subunit 7	-0.563	4.238
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	-0.885	3.959
55248	PACC1	proton activated chloride channel 1	-0.818	4.506
55509	BATF3	basic leucine zipper ATF-like transcription factor 3	-1.481	6.598
56950	SMYD2	SET and MYND domain containing 2	-0.724	4.121
107985263	LOC107985263		-0.644	2.881
5784	PTPN14	protein tyrosine phosphatase non-receptor type 14	0.94	5.632
1063	CENPF	centromere protein F	-0.81	2.888
3776	KCNK2	potassium two pore domain channel subfamily K member 2	1.108	4.999
2104	ESRRG	estrogen related receptor gamma	1.295	4.243
128153	SPATA17	spermatogenesis associated 17	0.719	1.369
51018	RRP15	ribosomal RNA processing 15 homolog	-0.662	4.603
7042	TGFB2	transforming growth factor beta 2	0.652	2.832
103611157	TGFB2-OT1	TGFB2 overlapping transcript 1	0.797	2.741
55532	SLC30A10	solute carrier family 30 member 10	3.854	3.284
10380	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	-0.515	2.956
79762	C1orf115	chromosome 1 open reading frame 115	0.883	6.497
54996	MTARC2	mitochondrial amidoxime reducing component 2	0.724	3.41
64757	MTARC1	mitochondrial amidoxime reducing component 1	1.063	2.87
388743	CAPN8	calpain 8	1.935	4.021
100287497	SEPTIN7P13	septin 7 pseudogene 13	0.642	1.663
29097	CNIH4	cornichon family AMPA receptor auxiliary protein 4	-0.828	2.429
149111	CNIH3	cornichon family AMPA receptor auxiliary protein 3	0.522	1.373
55740	ENAH	ENAH actin regulator	-0.515	3.358
6726	SRP9	signal recognition particle 9	-0.521	1.397
2052	EPHX1	epoxide hydrolase 1	0.652	6.648
3020	H3-3A	H3.3 histone A	-0.541	1.783
286826	LIN9	lin-9 DREAM MuvB core complex component	-0.739	4.279
375057	STUM	stum, mechanosensory transduction mediator homolog	1.363	7.388
3707	ITPKB	inositol-trisphosphate 3-kinase B	0.823	8.713
56997	COQ8A	coenzyme Q8A	0.606	3.454
105379282	LOC105379282		1.266	2.641
8476	CDC42BPA	CDC42 binding protein kinase alpha	0.668	4.147
7483	WNT9A	Wnt family member 9A	0.922	2.52
89780	WNT3A	Wnt family member 3A	0.721	1.92
128308	MRPL55	mitochondrial ribosomal protein L55	-0.599	2.708
2987	GUK1	guanylate kinase 1	-0.532	1.391
57165	GJC2	gap junction protein gamma 2	0.905	6.108
51127	TRIM17	tripartite motif containing 17	0.718	1.594
112267873	LINC02814	long intergenic non-protein coding RNA 2814	1.705	2.539
126731	CCSAP	centriole, cilia and spindle associated protein	0.535	3.506
79605	PGBD5	piggyBac transposable element derived 5	-1.961	7.88
107985358	LOC107985358	uncharacterized LOC107985358	-0.56	3.504
64801	ARV1	ARV1 homolog, fatty acid homeostasis modulator	-0.727	2.861
375061	FAM89A	family with sequence similarity 89 member A	-1.116	3.927
100302132	MIR1182	microRNA 1182	-1.209	3.685
8443	GNPAT	glyceronephosphate O-acyltransferase	0.915	2.999
112268256	LOC112268256		0.874	1.822
7257	TSNAX	translin associated factor X	-0.53	2.308
107985361	LOC107985361	uncharacterized LOC107985361	-0.762	2.281
84284	NTPCR	nucleoside-triphosphatase, cancer-related	-0.609	1.697
3775	KCNK1	potassium two pore domain channel subfamily K member 1	-0.757	2.662
101927765	COA6-AS1	COA6 antisense RNA 1	-0.803	2.617
388753	COA6	cytochrome c oxidase assembly factor 6	-0.991	3.311
1130	LYST	lysosomal trafficking regulator	0.539	2.265
4548	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	0.748	3.492
6262	RYR2	ryanodine receptor 2	0.61	1.886
1131	CHRM3	cholinergic receptor muscarinic 3	1.739	4.367
64388	GREM2	gremlin 2, DAN family BMP antagonist	1.706	6.703
9156	EXO1	exonuclease 1	-1.191	9.623
64216	TFB2M	transcription factor B2, mitochondrial	-0.894	6.134
114548	NLRP3	NLR family pyrin domain containing 3	-0.77	1.877
102724250	LOC102724250	neuroblastoma breakpoint family member 1-like	0.782	2.775
102724562	LOC102724562	macrophage stimulating 1 pseudogene	1.208	1.585
642273	FAM110C	family with sequence similarity 110 member C	-1.805	21.621
285016	ALKAL2	ALK and LTK ligand 2	1.962	7.144
101927262	LOC101927262	uncharacterized LOC101927262	1.978	6.247
54221	SNTG2	syntrophin gamma 2	0.681	1.376
7173	TPO	thyroid peroxidase	1.265	2.016
7260	EIPR1	EARP complex and GARP complex interacting protein 1	-0.699	4.373
6201	RPS7	ribosomal protein S7	-0.662	1.348
129607	CMPK2	cytidine/uridine monophosphate kinase 2	-2.388	13.986
91543	RSAD2	radical S-adenosyl methionine domain containing 2	-2.824	15.42
101929531	LINC01871	long intergenic non-protein coding RNA 1871	-1.939	5.982
57498	KIDINS220	kinase D interacting substrate 220	0.508	2.653
105373414	LOC105373414	uncharacterized LOC105373414	1.447	2.046
8853	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	0.597	3.39
51692	CPSF3	cleavage and polyadenylation specific factor 3	-0.536	4.513
285148	IAH1	isoamyl acetate hydrolyzing esterase 1 (putative)	-0.535	2.001
6868	ADAM17	ADAM metallopeptidase domain 17	-0.651	11.064
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	-0.812	3.439
9014	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	-0.743	4.921
192668	CYS1	cystin 1	0.676	2.082
6241	RRM2	ribonucleotide reductase regulatory subunit M2	-2.496	29.733
4953	ODC1	ornithine decarboxylase 1	-1.003	1.981
79954	NOL10	nucleolar protein 10	-0.552	7.857
245973	ATP6V1C2	ATPase H+ transporting V1 subunit C2	-0.689	7.264
105373428	LOC105373428	uncharacterized LOC105373428	-0.763	2.194
10130	PDIA6	protein disulfide isomerase family A member 6	-0.564	3.114
9687	GREB1	growth regulating estrogen receptor binding 1	0.834	2.046
23175	LPIN1	lipin 1	1.309	3.447
28951	TRIB2	tribbles pseudokinase 2	-0.842	7.771
7447	VSNL1	visinin like 1	-1.33	12.086
348654	GEN1	GEN1 Holliday junction 5' flap endonuclease	-0.557	2.119
130497	OSR1	odd-skipped related transcription factor 1	0.555	1.556
57539	WDR35	WD repeat domain 35	0.667	6.461
388	RHOB	ras homolog family member B	0.643	3.253
151449	GDF7	growth differentiation factor 7	0.966	4.124
338	APOB	apolipoprotein B	1.13	1.723
105374317	LOC105374317	uncharacterized LOC105374317	1.957	3.593
114818	KLHL29	kelch like family member 29	0.527	1.466
388931	MFSD2B	MFSD2 lysolipid transporter B, sphingolipid	-2.042	18.1
2281	FKBP1B	FKBP prolyl isomerase 1B	-1.013	4.145
51639	SF3B6	splicing factor 3b subunit 6	-0.576	2.595
9540	TP53I3	tumor protein p53 inducible protein 3	-1	11.276
50618	ITSN2	intersectin 2	-0.786	15.251
391356	PTRHD1	peptidyl-tRNA hydrolase domain containing 1	-1.078	3.261
79172	CENPO	centromere protein O	-0.841	5.203
3797	KIF3C	kinesin family member 3C	0.514	2.773
10890	RAB10	RAB10, member RAS oncogene family	-0.936	8.573
150946	GAREM2	GRB2 associated regulator of MAPK1 subtype 2	0.618	2.864
1058	CENPA	centromere protein A	-1.133	5.556
22924	MAPRE3	microtubule associated protein RP/EB family member 3	0.592	9.618
100128731	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	-0.571	1.382
10113	PREB	prolactin regulatory element binding	-0.5	3.054
64838	FNDC4	fibronectin type III domain containing 4	1.364	5.732
79635	CCDC121	coiled-coil domain containing 121	0.578	2.547
11321	GPN1	GPN-loop GTPase 1	-0.546	1.855
100302650	BABAM2-AS1	BABAM2 antisense RNA 1	-0.638	2.195
23160	WDR43	WD repeat domain 43	-0.623	4.143
165186	TOGARAM2	TOG array regulator of axonemal microtubules 2	0.825	1.577
388939	PCARE	photoreceptor cilium actin regulator	0.81	2.662
238	ALK	ALK receptor tyrosine kinase	0.859	1.378
51646	YPEL5	yippee like 5	-0.527	1.429
285043	LINC01936	long intergenic non-protein coding RNA 1936	1.281	2.348
92291	CAPN13	calpain 13	2.084	2.253
440854	CAPN14	calpain 14	0.734	2.058
7498	XDH	xanthine dehydrogenase	-1.588	4.09
51072	MEMO1	mediator of cell motility 1	-1.059	6.951
84661	DPY30	dpy-30 histone methyltransferase complex regulatory subunit	-0.721	2.215
100288911	CRIM1-DT	CRIM1 divergent transcript	0.545	1.519
51232	CRIM1	cysteine rich transmembrane BMP regulator 1	0.764	4.794
5212	VIT	vitrin	0.939	3.64
54497	HEATR5B	HEAT repeat containing 5B	0.538	1.74
25797	QPCT	glutaminyl-peptide cyclotransferase	-0.811	2.338
105374464	LINC03063	long intergenic non-protein coding RNA 3063	-0.955	2.72
1545	CYP1B1	cytochrome P450 family 1 subfamily B member 1	1.402	4.577
285154	CYP1B1-AS1	CYP1B1 antisense RNA 1	1.316	3.532
6432	SRSF7	serine and arginine rich splicing factor 7	-0.826	4.341
79833	GEMIN6	gem nuclear organelle associated protein 6	-0.656	2.11
6546	SLC8A1	solute carrier family 8 member A1	0.944	6.314
105374491	LOC105374491	uncharacterized LOC105374491	2.016	3.788
165140	OXER1	oxoeicosanoid receptor 1	0.777	1.615
107985875	LOC107985875		0.68	2.846
102723854	LINC01819	long intergenic non-protein coding RNA 1819	0.931	2.358
107985876	LOC107985876	uncharacterized LOC107985876	1.234	2.359
130271	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2	0.761	1.586
9419	CRIPT	CXXC repeat containing interactor of PDZ3 domain	-0.676	1.701
105374584	LOC105374584	uncharacterized LOC105374584	1.258	2.631
4072	EPCAM	epithelial cell adhesion molecule	0.933	2.606
3344	FOXN2	forkhead box N2	-0.744	4.8
286749	STON1-GTF2A1L	STON1-GTF2A1L readthrough	0.779	3.252
11037	STON1	stonin 1	0.716	4.053
